WARNING 2018-11-05 01:19:10,120 =  * Debugger is active!
INFO 2018-11-05 01:19:10,130 =  * Debugger PIN: 329-061-962
DEBUG 2018-11-05 01:19:24,037INFO 2018-11-05 01:19:51,438 =  * Restarting with stat
INFO 2018-11-05 01:22:30,173 =  * Restarting with stat
INFO 2018-11-05 01:26:26,920 =  * Restarting with stat
INFO 2018-11-05 01:26:58,300 =  * Restarting with stat
INFO 2018-11-05 01:28:03,114 =  * Restarting with stat
INFO 2018-11-05 01:30:10,723 =  * Restarting with stat
INFO 2018-11-05 01:30:24,892 =  * Restarting with stat
INFO 2018-11-05 01:30:56,157 =  * Restarting with stat
INFO 2018-11-05 01:32:11,459 =  * Restarting with stat
INFO 2018-11-05 01:32:41,111 =  * Restarting with stat
INFO 2018-11-05 01:33:02,354 =  * Restarting with stat
INFO 2018-11-05 01:33:47,340 =  * Restarting with stat
INFO 2018-11-05 01:34:32,302 =  * Restarting with stat
